name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Bauchant, André",Male,1873–1958,1873,1958,"Château-Renault, France","Montoire-sur-le-Loir, France",http://www.tate.org.uk/art/artists/andre-bauchant-703
"Bauer, Marius",Male,1867–1932,1867,1932,"s Gravenhage, Nederland","Amsterdam, Nederland",http://www.tate.org.uk/art/artists/marius-bauer-704
"Baumeister, Willi",Male,1889–1955,1889,1955,"Stuttgart, Deutschland","Stuttgart, Deutschland",http://www.tate.org.uk/art/artists/willi-baumeister-705
"Baumgarten, Lothar",Male,born 1944,1944,9999,"Rheinsberg, Deutschland",Missing,http://www.tate.org.uk/art/artists/lothar-baumgarten-706
"Bawden, Edward",Male,1903–1989,1903,1989,Braintree,"Essex, United Kingdom",http://www.tate.org.uk/art/artists/edward-bawden-707
"Bawden, Richard",Male,born 1936,1936,9999,"Essex, United Kingdom",Missing,http://www.tate.org.uk/art/artists/richard-bawden-708
"Baxter, Glen",Male,born 1944,1944,9999,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/glen-baxter-709
"Baxter, Iain",Male,born 1936,1936,9999,"England, United Kingdom",Missing,http://www.tate.org.uk/art/artists/iain-baxter-710
"Baxter, Thomas Tennant",Male,1894–1947,1894,1947,Missing,Missing,http://www.tate.org.uk/art/artists/thomas-tennant-baxter-2413
"Bayer, Herbert",Male,1900–1985,1900,1985,"Haag am Hausruck, Österreich","Santa Barbara, United States",http://www.tate.org.uk/art/artists/herbert-bayer-711
"Bayes, Gilbert",Male,1872–1953,1872,1953,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/gilbert-bayes-712
"Bayes, Walter",Male,1869–1956,1869,1956,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/walter-bayes-713
"Baynard, Ed",Male,born 1940,1940,9999,"Washington, United States",Missing,http://www.tate.org.uk/art/artists/ed-baynard-6275
"Baziotes, William",Male,1912–1963,1912,1963,"Pittsburgh, United States","New York, United States",http://www.tate.org.uk/art/artists/william-baziotes-714
"Beach, Thomas",Male,1738–1806,1738,1806,"Dorset, United Kingdom",Dorchester,http://www.tate.org.uk/art/artists/thomas-beach-27
"Beale, Mary",Female,1633–1699,1633,1699,"Barrow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/mary-beale-2306
"Beament, Tib",Male,born 1941,1941,9999,Canada,Missing,http://www.tate.org.uk/art/artists/tib-beament-715
"Beard, John",Male,born 1943,1943,9999,"Aberdare, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-beard-2705
"Beardsley, Aubrey",Male,1872–1898,1872,1898,"Brighton, United Kingdom","Menton, France",http://www.tate.org.uk/art/artists/aubrey-beardsley-716
"Beare, George",Male,active 1743–1749,1743,1749,Missing,"Andover, United Kingdom",http://www.tate.org.uk/art/artists/george-beare-28
"Beattie, Basil",Male,born 1935,1935,9999,"Hartlepool, United Kingdom",Missing,http://www.tate.org.uk/art/artists/basil-beattie-717
"Beaumont, Sir George Howland, Bt",Male,1753–1827,1753,1827,"Great Dunmow, United Kingdom","Leicestershire, United Kingdom",http://www.tate.org.uk/art/artists/sir-george-howland-beaumont-bt-29
"Beban, Breda",Female,1952–2012,1952,2012,"Novi Sad, Jugoslavija",Missing,http://www.tate.org.uk/art/artists/breda-beban-10983
"Becher, Prof. Bernd",Missing,"1931–2007, born 1934",1931,9999,Missing,Missing,http://www.tate.org.uk/art/artists/bernd-becher-and-hilla-becher-718
"Becker, Ferdinand",Male,active 1793–1825,1793,1825,Missing,Missing,http://www.tate.org.uk/art/artists/ferdinand-becker-2557
"Becker, Harald",Male,born 1940,1940,9999,Deutschland,Missing,http://www.tate.org.uk/art/artists/harald-becker-719
"Beckley, Bill",Male,born 1946,1946,9999,"Hamburg, United States",Missing,http://www.tate.org.uk/art/artists/bill-beckley-6303
"Beckmann, Max",Male,1884–1950,1884,1950,"Leipzig, Deutschland","New York, United States",http://www.tate.org.uk/art/artists/max-beckmann-720
"Bedia, Jose",Male,born 1959,1959,9999,Missing,Missing,http://www.tate.org.uk/art/artists/jose-bedia-9118
"Beechey, Sir William",Male,1753–1839,1753,1839,"Burford, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-beechey-30
"Beer, Richard",Male,born 1928,1928,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/richard-beer-721
"Beerbohm, Sir Max",Male,1872–1956,1872,1956,"London, United Kingdom","Rapallo, Italia",http://www.tate.org.uk/art/artists/sir-max-beerbohm-722
"Beeton, Alan",Male,1880–1942,1880,1942,"Hampstead, United Kingdom","Reading, United Kingdom",http://www.tate.org.uk/art/artists/alan-beeton-723
"Beggs, Guy",Male,born 1947,1947,9999,"Durban, South Africa",Missing,http://www.tate.org.uk/art/artists/guy-beggs-724
"Behnes, William",Male,1795–1864,1795,1864,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-behnes-31
"Belcher, George",Male,1875–1947,1875,1947,"Greater London, United Kingdom","Chiddingfold, United Kingdom",http://www.tate.org.uk/art/artists/george-belcher-725
"Belhaj-Kacem, Mehdi",Male,born 1973,1973,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/mehdi-belhaj-kacem-11822
"Bell, Graham",Male,1910–1943,1910,1943,South Africa,Missing,http://www.tate.org.uk/art/artists/graham-bell-726
"Bell, John Zephaniah",Male,1794–1883,1794,1883,"Dundee, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-zephaniah-bell-32
"Bell, Larry",Male,born 1939,1939,9999,"Chicago, United States",Missing,http://www.tate.org.uk/art/artists/larry-bell-727
"Bell, Laura Anning",Female,1867–1950,1867,1950,France,"London, United Kingdom",http://www.tate.org.uk/art/artists/laura-anning-bell-728
"Bell, Robert Anning",Male,1863–1933,1863,1933,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-anning-bell-729
"Bell, Trevor",Male,born 1930,1930,9999,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/trevor-bell-730
"Bell, Vanessa",Female,1879–1961,1879,1961,"Kensington, United Kingdom","West Sussex, United Kingdom",http://www.tate.org.uk/art/artists/vanessa-bell-731
"Bellany, John",Male,1942–2013,1942,2013,"Port Seton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-bellany-732
"Bellegarde, Claude",Male,born 1927,1927,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/claude-bellegarde-733
"Bellingham-Smith, Elinor",Female,1906–1988,1906,1988,"London, United Kingdom","Ipswich, United Kingdom",http://www.tate.org.uk/art/artists/elinor-bellingham-smith-735
"Bellmer, Hans",Male,1902–1975,1902,1975,"Katowice, Polska","Paris, France",http://www.tate.org.uk/art/artists/hans-bellmer-736
"Belloguet, A.",Missing,19th century,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/a-belloguet-2618
"Benazech, Peter Paul",Male,c.1744–c.1783,1744,1783,Missing,Missing,http://www.tate.org.uk/art/artists/peter-paul-benazech-2549
"Bendix Skyum Larsen, Nikolaj",Missing,born 1971,1971,9999,Missing,Missing,http://www.tate.org.uk/art/artists/nikolaj-bendix-skyum-larsen-18264
"Benglis, Lynda",Female,born 1941,1941,9999,"Louisiana, United States",Missing,http://www.tate.org.uk/art/artists/lynda-benglis-7290
"Benjamin, Anthony",Male,1931–2002,1931,2002,"Hampshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/anthony-benjamin-737
"Bennett, William",Male,1811–1871,1811,1871,Missing,Missing,http://www.tate.org.uk/art/artists/william-bennett-33
"Benois, Alexander",Male,1870–1960,1870,1960,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/alexander-benois-738
"Benois, Nadia",Female,1896–1975,1896,1975,"Sankt-Peterburg, Rossiya","Gloucestershire, United Kingdom",http://www.tate.org.uk/art/artists/nadia-benois-739
"Benrath, Frédéric",Male,born 1930,1930,9999,"Chatou, France",Missing,http://www.tate.org.uk/art/artists/frederic-benrath-2240
"Benson, Abraham Harris",Male,1878–1929,1878,1929,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/abraham-harris-benson-740
"Béraud, Jean",Male,1849–1935,1849,1935,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/jean-beraud-741
"Berber, Mersad",Male,born 1940,1940,9999,"Bosanski Petrovac, Bosna i Hercegovina",Missing,http://www.tate.org.uk/art/artists/mersad-berber-742
"Berg, Adrian",Male,1929–2011,1929,2011,"London, United Kingdom","Brighton, United Kingdom",http://www.tate.org.uk/art/artists/adrian-berg-743
"Bergvall, Caroline",Missing,born 1962,1962,9999,Missing,Missing,http://www.tate.org.uk/art/artists/caroline-bergvall-18242
"Berkeley, Rev C J R",Male,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/rev-c-j-r-berkeley-2481
"Berman, Eugène",Male,1899–1972,1899,1972,"Sankt-Peterburg, Rossiya","Roma, Italia",http://www.tate.org.uk/art/artists/eugene-berman-744
"Bernik, Janez",Male,born 1933,1933,9999,Slovenija,Missing,http://www.tate.org.uk/art/artists/janez-bernik-745
"Berry, John, CBE",Male,born 1925,1925,9999,Missing,Missing,http://www.tate.org.uk/art/artists/john-berry-746
"Berthot, Jake",Male,born 1939,1939,9999,"Niagara Falls, United States",Missing,http://www.tate.org.uk/art/artists/jake-berthot-2234
"Bettes, John",Male,active 1531–1570,1531,1570,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/john-bettes-34
"Beuys, Joseph",Male,1921–1986,1921,1986,"Krefeld, Deutschland","Düsseldorf, Deutschland",http://www.tate.org.uk/art/artists/joseph-beuys-747
"Bevan, Robert",Male,1865–1925,1865,1925,"Hove, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-bevan-748
"Bevan, Tony",Male,born 1951,1951,9999,"Bradford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/tony-bevan-2371
"Bewick, Thomas",Male,1753–1828,1753,1828,"England, United Kingdom",Gateshead,http://www.tate.org.uk/art/artists/thomas-bewick-35
"Bhimji, Zarina",Female,born 1963,1963,9999,"Mbarara, Uganda",Missing,http://www.tate.org.uk/art/artists/zarina-bhimji-5469
"Bicât, André",Male,1909–1996,1909,1996,"Essex, United Kingdom",Missing,http://www.tate.org.uk/art/artists/andre-bicat-749
"Bickerton, Ashley",Male,born 1959,1959,9999,Barbados,Missing,http://www.tate.org.uk/art/artists/ashley-bickerton-2296
"Biederman, Charles",Male,1906– 2004,1906,2004,"Cleveland, United States",Missing,http://www.tate.org.uk/art/artists/charles-biederman-750
"Biermann, Aenne",Female,1893–1933,1893,1933,"Goch, Deutschland","Gera, Deutschland",http://www.tate.org.uk/art/artists/aenne-biermann-15999
"Bigge, John",Male,1892–1973,1892,1973,"Oxford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-bigge-sir-john-amherst-selby-bigge-bt-1658
"Bill, Simon",Male,born 1958,1958,9999,"Kingston-upon-Thames, United Kingdom",Missing,http://www.tate.org.uk/art/artists/simon-bill-12110
"Billingham, Richard",Male,born 1970,1970,9999,"Birmingham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/richard-billingham-2749
"Binning, Bertram",Male,1909–1976,1909,1976,"Alberta, Canada","West Vancouver, Canada",http://www.tate.org.uk/art/artists/bertram-binning-751
"Bionda, Mario",Male,1913–1985,1913,1985,"Torino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/mario-bionda-752
"Birch, Samuel John Lamorna",Male,1869–1955,1869,1955,Egremont,"England, United Kingdom",http://www.tate.org.uk/art/artists/samuel-john-lamorna-birch-753
"Bird, Edward",Male,1762–1819,1762,1819,"Wolverhampton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-bird-36
"Bird, John",Male,born 1945,1945,9999,"Doncaster, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-bird-754
"Birdhead (Ji Weiyu, born 1980; Song Tao, born 1979)",Male,established 2004,2004,9999,Missing,Missing,http://www.tate.org.uk/art/artists/birdhead-ji-weiyu-born-1980-song-tao-born-1979-16782
"Bishop, Henry",Male,1868–1939,1868,1939,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-bishop-755
"Bissier, Julius",Male,1893–1965,1893,1965,"Freiburg im Breisgau, Deutschland","Ascona, Schweiz",http://www.tate.org.uk/art/artists/julius-bissier-756
"Bissière, Roger",Male,1886–1964,1886,1964,"Lot-et-Garonne, France","Lot, France",http://www.tate.org.uk/art/artists/roger-bissiere-757
"Bissill, George",Male,1896–1973,1896,1973,"Fairford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-bissill-758
"Bjørlo, Per Inge",Male,born 1952,1952,9999,"Ålesund, Norge",Missing,http://www.tate.org.uk/art/artists/per-inge-bjrlo-6500
Black Audio Film Collective (John Akomfrah; Reece Auguis; Edward George; Lina Gopaul; Avril Johnson; David Lawson; Trevo,Missing,1982–98 born 1958; born 1958; born1963; born 1959; born 1958; born 1962; born 1960,1958,1998,Missing,Missing,http://www.tate.org.uk/art/artists/black-audio-film-collective-john-akomfrah-reece-auguis-edward-george-lina-gopaul-avril-9260
"Black, Karla",Female,born 1972,1972,9999,"Alexandria, United Kingdom",Missing,http://www.tate.org.uk/art/artists/karla-black-11563
"Black, Sheila",Female,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/sheila-black-759
"Blackadder, Elizabeth",Female,born 1931,1931,9999,"Falkirk, United Kingdom",Missing,http://www.tate.org.uk/art/artists/elizabeth-blackadder-760
"Blacker, Kate",Female,born 1955,1955,9999,"Petersfield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/kate-blacker-761
"Blais, Jean-Charles",Male,born 1956,1956,9999,"Nantes, France",Missing,http://www.tate.org.uk/art/artists/jean-charles-blais-2245
"Blake, Benjamin",Male,c.1790–c.1830,1790,1830,Missing,Missing,http://www.tate.org.uk/art/artists/benjamin-blake-37
"Blake, John",Male,born 1945,1945,9999,"Rhode Island, United States",Missing,http://www.tate.org.uk/art/artists/john-blake-762
"Blake, Peter",Male,born 1932,1932,9999,"Dartford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/peter-blake-763
"Blake, Robert",Male,1762–1787,1762,1787,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-blake-38
"Blake, William",Male,1757–1827,1757,1827,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-blake-39
"Blamey, Norman",Male,1914–2000,1914,2000,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/norman-blamey-764
"Blanche, Jacques-Emile",Male,1861–1942,1861,1942,Auteuil,"Paris, France",http://www.tate.org.uk/art/artists/jacques-emile-blanche-765
"Bland, Beatrice",Female,1864–1951,1864,1951,"Lincolnshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/beatrice-bland-766
"Blaymires, Charles Henry",Male,1908–c.1970s,1908,1970,Missing,Missing,http://www.tate.org.uk/art/artists/charles-henry-blaymires-767
"Bleckner, Ross",Male,born 1949,1949,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/ross-bleckner-2759
"Blees Luxemburg, Rut",Female,born 1967,1967,9999,Deutschland,Missing,http://www.tate.org.uk/art/artists/rut-blees-luxemburg-3652
"Bliss, Douglas Percy",Male,1900–1984,1900,1984,"Karachi, Pakistan",Missing,http://www.tate.org.uk/art/artists/douglas-percy-bliss-768
"Bloch, Martin",Male,1883–1954,1883,1954,Schlesien,"London, United Kingdom",http://www.tate.org.uk/art/artists/martin-bloch-769
"Blom, Ansuya",Female,born 1956,1956,9999,"Groningen, Nederland",Missing,http://www.tate.org.uk/art/artists/ansuya-blom-13711
"Blore, Edward",Male,1789–1879,1789,1879,"Stamford, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-blore-2229
"Blow, Sandra",Female,1925–2006,1925,2006,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sandra-blow-770
"Bo, Hou",Female,born 1924,1924,9999,Zhonghua,Missing,http://www.tate.org.uk/art/artists/hou-bo-13048
"Boccioni, Umberto",Male,1882–1916,1882,1916,"Reggio di Calabria, Italia","Veneto, Italia",http://www.tate.org.uk/art/artists/umberto-boccioni-771
"Bochner, Mel",Male,born 1940,1940,9999,"Pittsburgh, United States",Missing,http://www.tate.org.uk/art/artists/mel-bochner-772
"Bock, Théophile de",Male,1851–1904,1851,1904,"s Gravenhage, Nederland","Haarlem, Nederland",http://www.tate.org.uk/art/artists/theophile-de-bock-773
"Boden, Neville",Male,1929–1996,1929,1996,South Africa,Missing,http://www.tate.org.uk/art/artists/neville-boden-774
"Boehm, Sir Joseph Edgar",Male,1834–1890,1834,1890,"Wien, Österreich","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-joseph-edgar-boehm-40
"Boetti, Alighiero",Male,1940–1994,1940,1994,"Torino, Italia",Missing,http://www.tate.org.uk/art/artists/alighiero-e-boetti-7713
"Bohm, Dorothy",Female,born 1924,1924,9999,"Königsberg in Bayern, Deutschland",Missing,http://www.tate.org.uk/art/artists/dorothy-bohm-9822
"Boisvert, Gilles",Male,born 1940,1940,9999,"Québec, Canada",Missing,http://www.tate.org.uk/art/artists/gilles-boisvert-775
"Boitard, Louis Philippe",Male,active 1734–1760,1734,1760,France,Missing,http://www.tate.org.uk/art/artists/louis-philippe-boitard-2740
"Boltanski, Christian",Male,born 1944,1944,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/christian-boltanski-2305
"Bolus, Michael",Male,1934–2013,1934,2013,South Africa,Missing,http://www.tate.org.uk/art/artists/michael-bolus-776
"Bomberg, David",Male,1890–1957,1890,1957,"Birmingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/david-bomberg-777
"Bond, Henry",Male,born 1966,1966,9999,"Great Britain, United Kingdom",Missing,http://www.tate.org.uk/art/artists/henry-bond-2586
"Bone, Sir Muirhead",Male,1876–1953,1876,1953,Missing,"Oxford, United Kingdom",http://www.tate.org.uk/art/artists/sir-muirhead-bone-778
"Bone, Stephen",Male,1904–1958,1904,1958,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/stephen-bone-779
"Bonechi, Lorenzo",Male,born 1955,1955,1994,"Figline Valdarno, Italia",Missing,http://www.tate.org.uk/art/artists/lorenzo-bonechi-780
