name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Skiöld, Birgit",Female,1923–1982,1923,1982,"Stockholm, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/birgit-skiold-1950
"Skippe, John",Male,1741–1811 or 12,1741,1811,Hertfordshire,"England, United Kingdom",http://www.tate.org.uk/art/artists/john-skippe-2458
"Slaughter, Stephen",Male,1697–1765,1697,1765,"London, United Kingdom",Kensington,http://www.tate.org.uk/art/artists/stephen-slaughter-498
"Slawik, Bernard",Male,1904 – 1991,1904,1991,Polska,"Melbourne, Australia",http://www.tate.org.uk/art/artists/bernard-slawik-1951
"Sleap, Joseph Axe",Male,1808–1859,1808,1859,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-axe-sleap-499
"Sleter, Francesco",Male,1685–1775,1685,1775,Missing,"Kent, United Kingdom",http://www.tate.org.uk/art/artists/francesco-sleter-500
"Slominski, Andreas",Male,born 1959,1959,9999,"Meppen, Deutschland",Missing,http://www.tate.org.uk/art/artists/andreas-slominski-11404
"Small, William",Male,1843–1931,1843,1931,"Edinburgh, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/william-small-501
"Smallwood, William Frome",Male,1806–1834,1806,1834,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-frome-smallwood-2531
"Smart, Edgar Rowley",Male,1887–1934,1887,1934,"Cheetham Hill, United Kingdom","Staffordshire, United Kingdom",http://www.tate.org.uk/art/artists/edgar-rowley-smart-1952
"Smetham, James",Male,1821–1889,1821,1889,"Pateley Bridge, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-smetham-502
"Smirke, Robert",Male,1752–1845,1752,1845,"Wigton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-smirke-503
"Smith, Bob and Roberta",Male,born 1963,1963,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bob-and-roberta-smith-10029
"Smith, Colin",Male,born 1953,1953,9999,Missing,Missing,http://www.tate.org.uk/art/artists/colin-smith-2673
"Smith, David",Male,1906–1965,1906,1965,"Decatur, United States","Bennington, United States",http://www.tate.org.uk/art/artists/david-smith-1953
"Smith, Frederick William",Male,1797–1835,1797,1835,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/frederick-william-smith-504
"Smith, George, of Chichester",Male,1714–1776,1714,1776,"Chichester, United Kingdom","Chichester, United Kingdom",http://www.tate.org.uk/art/artists/george-smith-of-chichester-506
"Smith, Gordon",Male,born 1919,1919,9999,"Hove, United Kingdom",Missing,http://www.tate.org.uk/art/artists/gordon-appelbe-smith-1954
"Smith, Hassel",Male,1915–2007,1915,2007,"Sturgis, United States","Warminster, United Kingdom",http://www.tate.org.uk/art/artists/hassel-smith-1955
"Smith, Jack",Male,1928–2011,1928,2011,"Sheffield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jack-smith-1956
"Smith, Joel",Male,born 1929,1929,9999,"Draper, United States",Missing,http://www.tate.org.uk/art/artists/joel-smith-1957
"Smith, John",Male,born 1952,1952,9999,"Walthamstow, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-smith-12243
"Smith, John `Warwick'",Male,1749–1831,1749,1831,"Cumbria, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-warwick-smith-508
"Smith, John Raphael",Male,1752–1812,1752,1812,"Derby, United Kingdom","Hereford and Worcester, United Kingdom",http://www.tate.org.uk/art/artists/john-raphael-smith-2568
"Smith, John Thomas",Male,1766–1833,1766,1833,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-thomas-smith-507
